date,Income & expenditure both are same,Income increased and the expenditure went down or remained the same,Income increased but the expenditure went up as well,Income remained the same while expenditure went up,Income went down while the expenditure went up,"Income went down, expenditure remained the same",Others/Don't Know/Can't Say
2020-11-20,5.09,2.67,10.97,17.06,50.2,7.91,6.1
2020-11-21,5.25,2.82,10.85,17.67,49.63,7.78,6.0
2020-11-22,5.25,2.8,10.94,17.53,49.63,7.79,6.06
2020-11-23,5.0,2.73,11.14,17.97,49.17,8.07,5.92
2020-11-24,5.26,2.59,10.65,17.98,49.01,8.75,5.76
2020-11-25,5.07,2.52,10.51,18.13,49.04,9.33,5.4
2020-11-26,5.1,2.68,9.91,17.93,49.93,9.13,5.32
2020-11-27,5.15,2.64,9.43,18.41,50.2,8.98,5.19
2020-11-28,5.16,2.62,9.41,18.46,50.15,8.99,5.21
2020-11-29,5.13,2.6,9.52,18.3,50.25,9.0,5.2
2020-11-30,5.14,2.63,9.51,18.26,50.27,8.97,5.22
2020-12-01,5.23,2.72,9.32,18.47,49.89,9.01,5.36
2020-12-02,4.71,2.55,9.75,19.17,49.59,8.31,5.92
2020-12-03,4.9,2.39,9.94,18.88,49.87,8.04,5.98
2020-12-04,4.79,2.44,9.59,18.71,50.75,7.5,6.22
2020-12-05,4.78,2.24,9.87,18.79,50.48,7.64,6.2
2020-12-06,4.76,2.26,9.91,18.58,50.59,7.7,6.2
2020-12-07,5.17,2.41,10.35,18.49,49.79,7.77,6.02
2020-12-08,4.93,2.19,10.34,18.48,50.25,7.67,6.14
2020-12-09,5.23,2.01,9.9,18.27,50.07,7.9,6.62
2020-12-10,5.69,1.91,10.11,17.65,49.55,8.46,6.63
2020-12-11,5.55,2.37,9.78,17.72,49.89,8.31,6.38
2020-12-12,5.82,2.44,9.81,17.36,49.96,8.25,6.36
2020-12-13,5.82,2.47,9.79,17.27,49.99,8.28,6.38
2020-12-14,5.94,2.57,9.92,16.79,49.71,8.23,6.84
2020-12-15,5.88,2.61,9.71,16.7,50.38,8.65,6.07
2020-12-16,5.7,2.84,9.4,17.13,49.69,8.87,6.37
2020-12-17,5.93,2.84,9.26,16.83,49.76,8.58,6.8
2020-12-18,5.95,2.47,9.26,17.17,50.12,8.06,6.97
2020-12-19,5.86,2.33,9.21,17.05,50.33,8.13,7.09
2020-12-20,5.86,2.32,9.19,17.05,50.42,8.02,7.14
2020-12-21,6.19,2.29,9.75,17.11,49.32,8.38,6.96
2020-12-22,6.28,2.14,9.23,17.41,49.58,8.19,7.17
2020-12-23,5.97,2.04,9.11,18.28,49.83,8.4,6.37
2020-12-24,5.79,2.0,9.45,17.55,50.13,8.54,6.54
2020-12-25,5.83,2.0,9.44,17.5,50.19,8.47,6.57
2020-12-26,5.82,1.98,9.42,17.52,50.15,8.51,6.6
2020-12-27,5.77,1.96,9.44,17.52,50.23,8.5,6.58
2020-12-28,5.82,1.98,9.43,17.44,50.28,8.5,6.55
2020-12-29,5.83,1.99,9.43,17.57,50.12,8.51,6.55
2020-12-30,6.09,2.04,9.2,17.37,50.02,8.94,6.34
2020-12-31,6.09,2.02,9.1,17.32,50.28,8.85,6.34
2021-01-01,6.38,2.04,9.31,17.48,49.66,8.58,6.55
2021-01-02,6.21,2.0,9.4,17.89,49.87,8.13,6.5
2021-01-03,6.21,2.03,9.44,17.92,49.82,8.11,6.47
2021-01-04,6.19,2.08,9.55,17.88,49.89,7.95,6.46
2021-01-05,6.06,2.1,9.66,18.49,49.42,7.72,6.55
2021-01-06,6.38,2.47,9.59,17.73,49.75,7.83,6.25
2021-01-07,6.47,2.36,9.42,18.27,49.43,7.67,6.38
2021-01-08,6.51,2.21,9.42,18.61,50.27,7.96,5.02
2021-01-09,7.12,2.29,8.85,18.68,50.16,7.93,4.97
2021-01-10,7.13,2.26,8.83,18.63,50.11,8.07,4.97
2021-01-11,7.01,2.32,8.75,18.72,50.01,8.1,5.09
2021-01-12,7.21,2.31,8.46,18.88,49.67,8.51,4.96
2021-01-13,7.54,2.55,8.31,18.64,49.95,8.09,4.92
2021-01-14,7.3,2.47,8.0,17.49,52.04,7.83,4.87
2021-01-15,7.29,2.59,8.01,17.01,52.08,7.8,5.22
2021-01-16,7.25,2.36,8.44,16.12,53.15,7.28,5.4
2021-01-17,7.33,2.36,8.43,16.16,53.15,7.26,5.31
2021-01-18,7.03,2.32,8.83,16.17,51.9,8.03,5.72
2021-01-19,6.75,2.31,9.17,16.49,51.62,8.11,5.55
2021-01-20,6.73,2.37,9.21,17.29,50.68,8.11,5.61
2021-01-21,6.57,2.21,9.39,18.27,50.1,7.96,5.5
2021-01-22,6.46,2.08,9.14,18.74,50.68,7.59,5.31
2021-01-23,6.62,2.12,8.91,19.28,49.95,8.02,5.1
2021-01-24,6.67,2.11,8.81,19.53,49.84,7.94,5.1
2021-01-25,6.62,2.08,8.75,19.22,50.65,7.51,5.17
2021-01-26,6.61,2.09,8.79,19.17,50.72,7.45,5.17
2021-01-27,6.86,1.96,8.99,18.69,50.9,7.51,5.09
2021-01-28,6.81,1.9,9.12,18.72,50.96,7.69,4.8
2021-01-29,6.93,1.99,9.0,18.67,51.24,7.37,4.8
2021-01-30,6.86,1.97,8.99,18.8,51.15,7.35,4.88
2021-01-31,6.83,1.98,9.06,18.74,51.14,7.4,4.85
2021-02-01,6.84,1.95,9.1,18.69,51.04,7.51,4.87
2021-02-02,6.72,1.95,8.97,18.66,51.58,7.41,4.71
2021-02-03,6.37,1.92,9.24,18.87,51.23,7.85,4.52
2021-02-04,6.43,1.82,9.42,18.7,51.32,7.81,4.5
2021-02-05,6.43,1.95,9.19,18.44,51.39,7.78,4.82
2021-02-06,6.48,1.91,9.2,18.47,51.39,7.74,4.81
2021-02-07,6.49,1.93,9.15,18.51,51.46,7.67,4.79
2021-02-08,6.38,2.0,9.38,18.13,52.14,7.05,4.92
2021-02-09,6.29,2.05,9.4,18.09,52.45,6.91,4.81
2021-02-10,6.13,2.07,9.57,17.84,52.49,7.13,4.77
2021-02-11,6.35,2.02,9.48,18.11,52.64,6.99,4.41
2021-02-12,6.29,2.01,9.75,18.27,51.88,7.49,4.31
2021-02-13,5.92,1.9,10.19,19.08,51.42,7.14,4.35
2021-02-14,5.87,1.9,10.18,19.07,51.33,7.19,4.46
2021-02-15,6.04,1.62,10.27,19.43,51.11,6.94,4.59
2021-02-16,5.83,1.65,10.05,19.53,51.51,6.71,4.72
2021-02-17,5.64,1.56,9.26,19.51,52.09,7.1,4.84
2021-02-18,5.63,1.61,8.78,19.34,52.51,7.16,4.97
2021-02-19,4.89,1.6,9.15,19.44,53.02,7.3,4.6
2021-02-20,4.82,1.71,9.21,19.47,53.47,6.84,4.48
2021-02-21,4.79,1.7,9.24,19.48,53.32,6.95,4.52
2021-02-22,4.94,1.61,9.27,18.75,54.06,6.91,4.46
2021-02-23,5.28,1.63,9.12,19.72,53.11,6.84,4.3
2021-02-24,4.95,1.72,9.12,19.85,52.86,7.17,4.33
2021-02-25,5.02,1.67,9.4,19.63,52.9,7.12,4.26
2021-02-26,5.05,1.78,9.31,19.83,52.67,7.1,4.26
2021-02-27,4.97,1.87,9.44,19.98,52.21,6.94,4.59
2021-02-28,5.0,1.87,9.42,20.01,52.05,6.95,4.7
2021-03-01,5.16,1.97,9.84,19.44,52.17,6.72,4.7
2021-03-02,5.02,2.04,9.59,19.39,52.77,6.61,4.58
2021-03-03,4.77,2.09,9.27,19.54,53.66,6.17,4.5
2021-03-04,4.67,2.12,8.93,20.22,53.39,6.46,4.21
2021-03-05,4.72,2.15,8.62,20.2,53.46,6.71,4.14
2021-03-06,4.83,2.11,7.88,20.07,53.36,7.78,3.97
2021-03-07,4.84,2.07,7.91,20.11,53.28,7.7,4.09
2021-03-08,5.28,2.04,7.74,19.93,52.89,7.88,4.24
2021-03-09,5.05,2.14,7.95,19.79,53.36,7.31,4.4
2021-03-10,4.92,2.23,7.88,20.44,53.07,6.89,4.57
2021-03-11,4.95,2.28,8.21,20.87,52.59,6.45,4.65
2021-03-12,4.87,2.32,8.31,20.92,51.99,6.68,4.91
2021-03-13,5.07,2.16,8.47,21.13,52.34,6.18,4.65
2021-03-14,5.08,2.15,8.5,21.18,52.29,6.14,4.66
2021-03-15,5.04,2.18,8.67,20.73,52.85,5.87,4.66
2021-03-16,5.25,1.95,8.89,21.28,52.24,5.96,4.43
2021-03-17,5.14,2.26,8.92,20.82,52.53,5.69,4.64
2021-03-18,4.98,2.23,9.29,20.44,52.62,5.91,4.53
2021-03-19,4.97,2.28,9.44,20.77,52.72,5.54,4.28
2021-03-20,4.5,2.28,9.59,20.48,52.14,6.25,4.76
2021-03-21,4.51,2.32,9.64,20.43,52.13,6.22,4.75
2021-03-22,4.69,2.27,9.4,20.91,52.04,6.12,4.57
2021-03-23,4.25,2.15,8.95,21.24,52.67,6.4,4.34
2021-03-24,4.48,1.88,8.67,20.56,53.52,6.68,4.21
2021-03-25,4.54,1.88,8.44,20.11,53.72,7.09,4.22
2021-03-26,4.47,1.8,8.56,19.26,54.25,6.83,4.83
2021-03-27,4.35,1.77,8.46,19.1,54.37,7.1,4.85
2021-03-28,4.36,1.8,8.49,19.17,54.37,6.95,4.86
2021-03-29,4.32,1.77,8.46,19.15,54.34,7.07,4.89
2021-03-30,4.65,1.99,8.9,19.34,53.51,6.77,4.84
2021-03-31,4.79,2.0,8.85,19.0,53.87,6.54,4.95
2021-04-01,4.9,2.02,8.87,18.66,53.83,6.59,5.13
2021-04-02,5.05,2.03,9.28,17.54,54.64,6.46,5.0
2021-04-03,5.02,2.1,9.14,17.77,54.11,6.83,5.03
2021-04-04,4.9,2.06,9.17,17.88,54.15,6.83,5.01
2021-04-05,4.73,2.04,9.36,18.14,53.94,6.72,5.07
2021-04-06,4.78,1.93,9.51,18.11,53.24,7.49,4.94
2021-04-07,4.74,2.05,9.29,18.62,52.96,7.51,4.83
2021-04-08,4.67,1.95,9.74,18.24,52.97,7.11,5.32
2021-04-09,4.28,1.89,9.29,18.37,51.34,8.3,6.53
2021-04-10,4.56,1.79,9.56,17.84,51.55,8.16,6.54
2021-04-11,4.53,1.75,9.46,17.9,51.41,8.33,6.62
2021-04-12,4.6,1.68,9.23,18.05,51.73,8.09,6.62
2021-04-13,4.57,1.63,8.94,18.36,51.99,7.82,6.69
2021-04-14,4.54,1.76,9.06,18.74,51.32,8.03,6.55
2021-04-15,4.7,1.86,9.28,18.6,51.37,7.89,6.3
2021-04-16,4.85,1.92,9.69,17.86,51.47,7.98,6.23
2021-04-17,4.74,2.0,9.06,18.48,52.39,7.74,5.59
2021-04-18,4.69,1.95,9.08,18.5,52.44,7.76,5.58
2021-04-19,4.98,1.96,9.02,18.6,52.44,7.42,5.58
2021-04-20,5.07,1.84,9.34,18.3,53.16,6.87,5.42
2021-04-21,4.91,1.84,8.93,18.6,53.62,6.7,5.4
2021-04-22,4.69,1.82,8.68,17.93,54.47,6.71,5.7
2021-04-23,4.7,1.59,9.08,18.01,53.9,7.31,5.41
2021-04-24,4.36,1.37,9.01,17.44,54.48,7.55,5.79
2021-04-25,4.67,1.36,8.98,17.5,54.16,7.53,5.8
2021-04-26,4.27,1.33,8.23,17.22,55.2,7.92,5.83
2021-04-27,4.18,1.25,8.02,17.54,55.09,8.31,5.61
2021-04-28,4.26,1.15,7.94,17.66,55.19,7.96,5.84
2021-04-29,4.35,1.24,7.9,17.78,54.92,7.26,6.55
2021-04-30,4.83,1.3,7.84,18.26,54.26,6.89,6.62
2021-05-01,4.9,1.3,7.08,17.96,55.04,6.86,6.86
2021-05-02,4.91,1.27,7.11,17.99,55.07,6.88,6.77
2021-05-03,4.93,1.24,7.11,18.62,55.04,6.58,6.48
2021-05-04,5.48,1.45,6.99,18.7,53.63,7.36,6.39
2021-05-05,5.54,1.57,7.13,18.14,53.8,7.57,6.25
2021-05-06,5.42,1.48,7.26,17.96,53.64,7.81,6.43
2021-05-07,5.32,1.26,7.26,18.16,53.81,7.55,6.64
2021-05-08,4.92,1.26,7.18,18.01,54.2,7.66,6.77
2021-05-09,4.95,1.27,7.13,17.98,54.33,7.76,6.58
2021-05-10,4.97,1.33,6.65,18.08,54.21,8.01,6.75
2021-05-11,5.32,1.28,6.49,17.79,53.91,8.5,6.71
2021-05-12,5.11,1.18,6.66,17.13,54.93,8.69,6.3
2021-05-13,5.1,1.13,6.7,17.48,55.31,8.28,6.0
2021-05-14,5.07,1.14,6.72,17.32,55.45,8.27,6.03
2021-05-15,4.79,1.02,6.56,17.8,55.21,8.57,6.05
2021-05-16,4.81,1.01,6.56,17.71,55.27,8.57,6.07
2021-05-17,4.78,1.02,6.55,17.63,55.05,8.7,6.27
2021-05-18,4.81,1.05,6.76,17.64,55.58,8.05,6.11
2021-05-19,5.08,1.06,6.26,17.8,55.8,8.1,5.9
2021-05-20,5.84,1.18,6.15,16.7,55.24,8.8,6.09
2021-05-21,5.9,1.27,6.03,16.65,54.85,9.1,6.2
2021-05-22,5.75,1.42,5.92,15.81,55.03,10.01,6.06
2021-05-23,5.71,1.42,5.97,15.67,55.23,9.97,6.03
2021-05-24,5.23,1.52,5.92,14.69,55.01,10.64,6.99
2021-05-25,4.85,1.43,5.84,14.9,56.38,9.5,7.1
2021-05-26,5.02,1.45,5.75,15.76,55.5,9.46,7.06
2021-05-27,5.26,1.28,5.99,16.05,54.96,9.19,7.27
2021-05-28,5.44,1.35,5.77,15.67,54.56,9.51,7.7
2021-05-29,5.57,1.4,5.9,15.62,54.23,9.56,7.72
2021-05-30,5.55,1.43,5.92,15.6,54.21,9.57,7.72
2021-05-31,5.43,1.43,5.98,15.65,54.19,9.58,7.74
2021-06-01,5.23,1.44,5.91,16.28,54.06,9.43,7.65
2021-06-02,5.32,1.52,6.29,16.42,53.06,9.42,7.97
2021-06-03,5.17,1.53,5.97,16.98,52.66,9.2,8.49
2021-06-04,5.23,1.48,5.83,18.23,52.15,8.9,8.18
2021-06-05,5.6,1.44,5.96,18.59,51.73,8.42,8.26
2021-06-06,5.66,1.44,6.33,18.4,52.14,8.17,7.86
2021-06-07,5.41,1.21,6.45,18.15,52.3,8.73,7.75
2021-06-08,5.4,1.15,6.17,17.98,52.84,9.05,7.41
2021-06-09,5.23,1.35,6.05,17.99,53.4,8.98,7.0
2021-06-10,4.95,1.37,6.37,17.6,53.32,9.04,7.35
2021-06-11,4.83,1.45,6.38,17.25,53.97,8.87,7.25
2021-06-12,4.56,1.57,5.99,17.66,54.11,8.73,7.38
2021-06-13,4.54,1.55,6.33,17.57,53.98,8.67,7.36
2021-06-14,4.75,1.7,6.25,17.85,53.19,9.1,7.16
2021-06-15,4.64,1.7,6.55,18.39,53.03,8.36,7.33
2021-06-16,4.39,1.94,6.84,18.25,53.54,8.01,7.03
2021-06-17,4.22,1.92,6.32,18.1,54.35,8.43,6.66
2021-06-18,4.15,1.83,6.29,18.06,54.35,8.81,6.51
2021-06-19,4.43,1.69,5.91,17.21,55.1,9.37,6.29
2021-06-20,4.45,1.74,5.92,17.24,55.1,9.36,6.19
2021-06-21,4.41,1.7,5.93,17.26,55.17,9.37,6.16
2021-06-22,4.62,1.65,5.73,17.23,55.17,9.6,6.0
2021-06-23,4.57,1.55,5.72,17.45,55.51,9.41,5.79
2021-06-24,4.73,1.26,5.68,16.89,55.71,9.55,6.18
2021-06-25,4.8,1.16,5.32,16.56,56.68,9.19,6.29
2021-06-26,4.8,1.04,5.39,17.1,56.48,9.2,5.99
2021-06-27,4.81,1.02,5.35,17.2,56.31,9.14,6.17
2021-06-28,4.82,0.93,5.51,17.23,56.67,8.69,6.15
2021-06-29,5.06,0.87,5.58,17.54,56.42,8.67,5.86
2021-06-30,5.19,0.91,5.7,18.0,55.55,8.84,5.81
2021-07-01,5.2,0.96,5.74,18.08,55.34,8.55,6.13
2021-07-02,5.1,0.97,6.08,18.22,54.91,8.64,6.08
2021-07-03,4.91,1.14,6.33,17.88,54.44,9.24,6.06
2021-07-04,4.95,1.14,6.32,17.86,54.39,9.22,6.12
2021-07-05,4.76,1.15,6.62,17.84,54.64,8.86,6.13
2021-07-06,4.75,1.16,6.58,17.94,54.54,8.87,6.16
2021-07-07,4.42,1.13,6.07,17.35,55.5,9.29,6.24
2021-07-08,4.38,1.27,5.94,17.28,55.82,8.99,6.32
2021-07-09,4.38,1.24,5.91,17.37,56.09,8.63,6.38
2021-07-10,4.44,1.24,5.72,17.38,56.38,8.57,6.27
2021-07-11,4.48,1.23,5.68,17.33,56.33,8.65,6.3
2021-07-12,4.43,1.03,6.06,17.81,57.0,7.35,6.32
2021-07-13,4.17,1.13,6.36,17.41,56.79,7.68,6.46
2021-07-14,4.01,1.11,6.29,17.4,57.03,7.62,6.54
2021-07-15,4.37,1.09,6.1,17.64,56.73,7.86,6.21
2021-07-16,4.45,1.05,6.36,17.6,56.66,7.74,6.14
2021-07-17,4.45,1.11,6.28,18.1,56.19,7.93,5.94
2021-07-18,4.47,1.13,6.27,18.05,56.21,7.96,5.91
2021-07-19,4.65,1.17,6.26,17.84,56.2,7.93,5.95
2021-07-20,4.49,1.0,6.44,17.81,56.19,8.15,5.92
2021-07-21,4.54,1.0,6.46,17.96,56.11,8.16,5.77
2021-07-22,4.6,1.41,7.06,17.83,54.97,8.17,5.96
2021-07-23,4.47,1.47,7.13,17.5,54.89,8.65,5.89
2021-07-24,4.65,1.51,7.14,17.37,54.6,8.78,5.95
2021-07-25,4.66,1.52,7.14,17.34,54.58,8.82,5.94
2021-07-26,4.71,1.42,7.25,17.5,54.45,8.85,5.82
2021-07-27,4.87,1.41,7.23,17.75,54.03,9.06,5.65
2021-07-28,4.53,1.61,7.63,17.44,53.73,9.31,5.75
2021-07-29,4.47,1.85,7.68,16.89,54.25,9.12,5.74
2021-07-30,4.6,1.89,7.66,17.02,54.36,9.0,5.47
2021-07-31,4.54,1.92,7.63,17.24,54.21,8.98,5.48
2021-08-01,4.6,1.92,7.73,16.93,54.22,9.13,5.47
2021-08-02,4.43,1.67,7.23,17.07,54.63,9.58,5.39
2021-08-03,4.21,1.5,7.78,17.13,54.09,9.2,6.09
2021-08-04,4.22,1.38,7.8,16.85,54.15,9.65,5.95
2021-08-05,4.18,1.39,7.54,17.4,53.92,9.85,5.72
2021-08-06,4.09,1.21,7.55,17.6,53.47,9.93,6.15
2021-08-07,3.95,1.26,7.51,17.94,53.63,9.52,6.19
2021-08-08,3.95,1.27,7.42,17.9,53.56,9.61,6.29
2021-08-09,3.94,1.27,7.49,17.7,53.58,9.71,6.31
2021-08-10,3.85,1.3,7.72,17.9,53.06,9.91,6.26
2021-08-11,4.07,1.3,7.5,18.19,52.73,9.97,6.24
2021-08-12,3.96,1.2,7.66,17.89,52.7,10.22,6.37
2021-08-13,3.94,1.2,7.57,18.13,52.56,10.08,6.52
2021-08-14,4.12,1.22,7.51,17.96,52.56,10.11,6.52
2021-08-15,4.1,1.23,7.44,17.93,52.68,10.15,6.47
2021-08-16,4.14,1.21,7.32,18.07,53.06,9.87,6.33
2021-08-17,4.12,1.21,7.32,18.34,52.94,10.0,6.07
2021-08-18,4.29,1.32,6.42,18.37,54.13,10.31,5.16
2021-08-19,4.36,1.28,6.08,18.35,54.43,10.56,4.94
2021-08-20,4.5,1.25,6.25,18.2,54.23,10.71,4.86
2021-08-21,4.56,1.18,6.55,17.99,54.58,10.19,4.95
2021-08-22,4.58,1.18,6.54,18.05,54.45,10.23,4.97
2021-08-23,4.6,1.18,6.72,18.27,53.59,10.67,4.97
2021-08-24,4.61,1.1,6.82,18.09,53.89,10.77,4.72
2021-08-25,4.68,1.07,6.96,18.27,53.61,10.8,4.61
2021-08-26,4.61,1.1,6.98,18.45,53.51,10.9,4.45
2021-08-27,4.51,1.29,6.83,18.45,53.43,10.99,4.5
2021-08-28,4.37,1.07,6.87,18.87,53.11,11.21,4.5
2021-08-29,4.4,1.12,6.84,18.85,53.09,11.18,4.52
2021-08-30,4.39,1.1,6.88,18.96,53.05,11.11,4.51
2021-08-31,4.51,1.11,6.69,19.05,52.96,11.2,4.48
2021-09-01,4.43,1.26,7.37,20.15,51.45,10.77,4.57
2021-09-02,4.56,1.15,8.07,20.49,50.85,10.6,4.28
2021-09-03,4.46,1.09,8.61,20.82,50.4,10.43,4.19
2021-09-04,4.26,1.16,9.28,22.1,49.44,9.35,4.41
2021-09-05,4.32,1.17,9.29,22.1,49.35,9.37,4.4
2021-09-06,4.41,1.24,9.82,21.91,49.86,8.71,4.05
2021-09-07,4.36,1.19,10.08,21.94,49.95,8.4,4.08
2021-09-08,4.95,1.31,10.26,21.5,50.29,7.68,4.01
2021-09-09,4.87,1.33,9.84,21.82,50.79,7.55,3.8
2021-09-10,4.71,1.33,9.68,22.42,50.29,7.73,3.84
2021-09-11,4.49,1.45,9.23,22.04,51.42,7.36,4.01
2021-09-12,4.48,1.45,9.22,22.08,51.41,7.38,3.98
2021-09-13,4.39,1.27,9.36,21.84,52.0,7.32,3.82
2021-09-14,4.34,1.35,9.18,21.68,51.62,8.21,3.62
2021-09-15,4.23,1.47,9.09,21.31,52.0,8.24,3.66
2021-09-16,3.95,1.56,9.21,21.77,51.75,7.86,3.9
2021-09-17,4.17,1.53,9.21,21.77,51.17,8.18,3.97
2021-09-18,4.2,1.33,9.03,22.81,50.71,8.15,3.77
2021-09-19,4.19,1.39,9.0,22.83,50.55,8.22,3.82
2021-09-20,4.35,1.34,9.02,22.94,50.49,7.68,4.18
2021-09-21,4.18,1.35,8.97,22.73,51.46,7.21,4.1
2021-09-22,4.09,1.35,9.14,22.7,51.15,7.26,4.31
2021-09-23,4.14,1.54,9.39,21.93,50.73,7.77,4.5
2021-09-24,4.04,1.62,9.24,21.75,51.33,7.49,4.53
2021-09-25,4.16,1.7,9.18,22.01,51.04,7.52,4.39
2021-09-26,4.09,1.68,9.15,21.97,51.1,7.62,4.39
2021-09-27,3.93,1.72,8.97,21.99,51.37,7.65,4.37
2021-09-28,4.25,1.67,8.78,21.98,51.04,7.7,4.58
2021-09-29,4.15,1.75,8.68,22.32,50.94,7.57,4.59
2021-09-30,4.07,1.81,8.64,22.63,50.66,7.61,4.58
2021-10-01,4.12,1.75,8.79,22.79,49.96,7.67,4.92
2021-10-02,4.14,1.76,8.81,22.78,49.92,7.7,4.89
2021-10-03,4.15,1.78,8.76,22.77,49.96,7.7,4.88
2021-10-04,4.09,1.98,8.48,22.9,49.74,8.1,4.71
2021-10-05,4.1,2.01,8.38,23.12,49.65,8.08,4.66
2021-10-06,4.07,1.9,8.42,22.83,49.76,8.21,4.81
2021-10-07,4.04,1.92,8.46,22.82,49.6,8.26,4.9
2021-10-08,4.14,1.79,8.6,22.81,49.27,8.35,5.04
2021-10-09,4.15,1.81,8.67,22.8,49.24,8.12,5.21
2021-10-10,4.16,1.85,8.56,22.7,49.16,8.34,5.23
2021-10-11,4.33,1.83,8.59,22.67,49.5,8.02,5.06
2021-10-12,4.24,1.76,8.77,22.46,49.62,8.16,4.99
2021-10-13,4.3,1.83,8.9,22.25,49.5,8.23,4.99
2021-10-14,4.34,1.81,8.77,22.21,49.83,8.04,5.0
2021-10-15,4.25,1.76,8.76,22.35,49.86,8.05,4.97
2021-10-16,4.33,1.8,8.77,22.43,49.75,8.01,4.91
2021-10-17,4.28,1.73,8.77,22.46,49.77,8.05,4.94
2021-10-18,4.29,1.8,9.02,22.41,49.8,7.9,4.78
2021-10-19,4.29,1.76,8.95,22.36,49.85,7.98,4.81
2021-10-20,4.34,1.74,8.92,22.55,49.66,8.01,4.78
2021-10-21,4.5,1.77,8.63,22.64,49.79,7.92,4.75
2021-10-22,4.36,1.85,8.68,22.84,49.64,7.87,4.76
2021-10-23,4.26,1.87,8.76,22.68,49.47,7.96,5.0
2021-10-24,4.3,1.89,8.75,22.7,49.56,7.79,5.01
2021-10-25,4.28,1.89,8.61,22.46,50.21,7.72,4.83
2021-10-26,4.29,1.85,8.75,22.56,49.92,7.85,4.78
2021-10-27,4.3,1.87,8.69,22.32,50.32,7.77,4.73
2021-10-28,4.42,1.81,8.56,22.15,50.61,7.68,4.77
2021-10-29,4.32,1.78,8.56,22.06,50.9,7.71,4.67
2021-10-30,4.27,2.06,8.24,21.89,51.22,7.68,4.64
2021-10-31,4.29,1.98,8.31,21.82,51.2,7.72,4.68
2021-11-01,4.29,1.93,8.29,21.74,51.33,7.81,4.61
2021-11-02,4.22,1.96,8.31,21.74,51.78,7.47,4.52
2021-11-03,4.17,1.94,8.24,21.68,51.81,7.65,4.51
2021-11-04,4.17,2.0,8.17,21.62,51.9,7.57,4.57
2021-11-05,4.15,2.01,8.15,21.8,52.09,7.27,4.53
2021-11-06,4.14,1.92,8.32,21.58,51.86,7.62,4.56
2021-11-07,4.21,1.95,8.12,21.79,52.02,7.3,4.61
2021-11-08,4.23,2.07,7.94,21.71,52.64,7.08,4.33
2021-11-09,4.28,2.08,7.81,21.68,52.69,7.17,4.29
2021-11-10,4.29,2.05,8.02,21.7,52.31,7.27,4.36
2021-11-11,4.24,2.05,8.09,21.63,52.2,7.42,4.37
2021-11-12,4.11,1.9,8.21,22.23,51.92,7.3,4.33
2021-11-13,4.06,1.83,8.38,22.13,52.07,7.28,4.25
2021-11-14,4.07,1.82,8.41,22.1,51.99,7.37,4.24
2021-11-15,4.24,1.85,8.42,22.18,51.85,7.22,4.24
2021-11-16,4.21,1.79,8.57,22.31,51.69,7.31,4.12
2021-11-17,4.24,1.82,8.43,22.39,51.69,7.3,4.13
2021-11-18,4.21,1.86,8.51,22.39,51.78,7.25,4.0
2021-11-19,4.13,1.78,8.38,22.19,52.16,7.35,4.01
2021-11-20,3.97,1.86,8.5,22.61,51.81,7.26,3.99
2021-11-21,3.92,1.85,8.51,22.51,51.97,7.24,4.0
2021-11-22,3.93,1.81,8.75,22.63,51.84,7.19,3.85
2021-11-23,3.87,1.88,8.69,22.68,51.91,7.21,3.76
2021-11-24,3.94,1.75,8.7,22.26,52.28,7.51,3.56
2021-11-25,3.78,1.81,8.78,22.26,52.5,7.48,3.39
2021-11-26,3.79,1.8,8.9,22.5,52.38,7.33,3.3
2021-11-27,3.72,1.82,8.71,22.27,52.86,7.34,3.28
2021-11-28,3.77,1.83,8.8,22.07,52.82,7.43,3.28
2021-11-29,3.72,1.84,9.12,21.7,53.46,7.04,3.12
2021-11-30,3.71,1.85,9.15,21.46,53.74,7.01,3.08
2021-12-01,3.63,1.84,9.09,21.74,53.64,6.96,3.1
2021-12-02,3.66,1.55,9.03,21.5,54.2,6.86,3.2
2021-12-03,3.68,1.59,8.97,21.83,54.18,6.57,3.18
2021-12-04,3.74,1.53,9.02,21.74,54.46,6.34,3.17
2021-12-05,3.7,1.57,9.02,21.82,54.35,6.37,3.17
2021-12-06,3.74,1.63,9.12,21.86,54.43,5.95,3.27
2021-12-07,4.09,1.65,9.72,21.9,53.71,5.79,3.14
2021-12-08,4.17,1.76,10.13,22.2,52.81,5.7,3.23
2021-12-09,4.03,1.65,9.74,22.6,52.77,5.96,3.25
2021-12-10,4.03,1.65,9.67,22.49,52.75,6.03,3.38
2021-12-11,4.08,1.66,9.7,22.35,52.79,6.04,3.38
2021-12-12,4.06,1.67,9.62,22.48,52.75,6.0,3.42
2021-12-13,4.22,1.65,9.76,22.23,52.64,6.04,3.46
2021-12-14,4.15,1.68,9.59,22.38,52.58,6.12,3.5
2021-12-15,4.32,1.71,9.73,21.95,52.67,6.13,3.49
2021-12-16,4.23,1.73,9.84,22.37,52.43,6.13,3.27
2021-12-17,4.17,1.71,10.01,22.01,52.77,6.08,3.25
2021-12-18,4.4,1.68,9.91,22.3,52.47,6.0,3.24
2021-12-19,4.3,1.68,9.91,22.25,52.7,6.01,3.15
2021-12-20,4.35,1.71,10.09,22.4,52.46,5.87,3.12
2021-12-21,4.34,1.75,10.08,22.09,52.81,5.74,3.19
