date,tracker_id,tracker_name,metric_name,option_index,polarity,weight,value
2019-01-03,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,5.08
2019-01-03,7,Media Usage,TV news channels,0,0.0,0.0,52.03
2019-01-03,7,Media Usage,Radio,1,0.0,0.0,1.47
2019-01-03,7,Media Usage,Newspapers,2,0.0,0.0,14.17
2019-01-03,7,Media Usage,News magazines,3,0.0,0.0,0.13
2019-01-03,7,Media Usage,Internet / social media,4,0.0,0.0,25.26
2019-01-03,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.23
2019-01-03,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,2.96
2019-01-03,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.48
2019-01-04,1,National Issues,Corruption,0,-1.0,1.0,9.88
2019-01-04,1,National Issues,Unemployment,1,-1.0,1.5,29.19
2019-01-04,1,National Issues,Familiy Income Poverty,2,-1.0,1.2,9.29
2019-01-04,1,National Issues,Rising Prices,3,-1.0,1.5,8.49
2019-01-04,1,National Issues,Electricity Road Water,4,-1.0,0.8,4.88
2019-01-04,1,National Issues,Terror Attacks,5,1.0,0.9,2.99
2019-01-04,1,National Issues,Epidemics such as Corona etc.,6,-0.5,0.6,0.0
2019-01-04,1,National Issues,Other Issues,7,0.0,0.0,27.11
2019-01-04,1,National Issues,Don't Know/Can't Say,8,0.0,0.0,8.17
2019-01-04,2,Quality of Life Index,Improved,0,1.0,1.3,38.05
2019-01-04,2,Quality of Life Index,Remained the same,1,0.0,0.2,30.97
2019-01-04,2,Quality of Life Index,Deteriorated,2,-1.0,1.4,29.29
2019-01-04,2,Quality of Life Index,Don't Know/Can't Say,3,0.0,0.0,1.69
2019-01-04,5,Index of Optimism,Will Improve,0,1.0,1.5,53.01
2019-01-04,5,Index of Optimism,Will remain the same,1,0.0,0.2,9.79
2019-01-04,5,Index of Optimism,Will Deteriorate,2,-1.0,1.5,10.3
2019-01-04,5,Index of Optimism,Don't Know/Can't Say,3,0.0,0.0,26.9
2019-01-04,6,Self Nation,The country is moving forward but not my life,0,0.25,0.9,12.68
2019-01-04,6,Self Nation,The country is moving forward and my life too,1,1.0,1.35,56.63
2019-01-04,6,Self Nation,My life is improving but the country is in poor state,2,-0.25,0.9,4.39
2019-01-04,6,Self Nation,My life & the country both are in a poor state,3,-1.0,1.8,21.42
2019-01-04,6,Self Nation,Don't Know/Can't Say,4,0.0,0.0,4.88
2019-01-04,7,Media Usage,TV news channels,0,0.0,0.0,52.86
2019-01-04,7,Media Usage,Radio,1,0.0,0.0,1.46
2019-01-04,7,Media Usage,Newspapers,2,0.0,0.0,13.93
2019-01-04,7,Media Usage,News magazines,3,0.0,0.0,0.16
2019-01-04,7,Media Usage,Internet / social media,4,0.0,0.0,24.62
2019-01-04,7,Media Usage,Political rallies / gatherings,5,0.0,0.0,0.22
2019-01-04,7,Media Usage,Personal interaction with friends/colleagues,6,0.0,0.0,3.14
2019-01-04,7,Media Usage,Don't Know/Can't Say,7,0.0,0.0,0.4
2019-01-05,1,National Issues,Corruption,0,-1.0,1.0,10.04
2019-01-05,1,National Issues,Unemployment,1,-1.0,1.5,28.34
