date,Deteriorated,Don't Know/Can't Say,Improved,Remained the same
2020-08-22,39.92,1.48,28.35,30.25
2020-08-23,39.95,1.58,28.35,30.12
2020-08-24,40.56,1.58,28.08,29.78
2020-08-25,40.75,1.55,27.87,29.83
2020-08-26,41.23,1.59,27.66,29.52
2020-08-27,41.08,1.57,27.03,30.32
2020-08-28,41.48,1.6,26.82,30.1
2020-08-29,41.04,1.72,27.1,30.14
2020-08-30,41.06,1.73,27.09,30.12
2020-08-31,39.95,1.76,29.33,28.96
2020-09-01,40.84,1.85,28.7,28.61
2020-09-02,41.14,1.87,29.05,27.94
2020-09-03,40.77,1.86,30.04,27.33
2020-09-04,42.78,1.67,28.32,27.23
2020-09-05,43.02,1.59,28.83,26.56
2020-09-06,43.09,1.59,28.77,26.55
2020-09-07,42.83,1.62,29.04,26.51
2020-09-08,42.48,1.58,29.17,26.77
2020-09-09,42.85,1.68,28.74,26.73
2020-09-10,42.94,1.55,28.69,26.82
2020-09-11,42.02,1.45,29.51,27.02
2020-09-12,41.79,1.44,29.58,27.19
2020-09-13,41.92,1.46,29.41,27.21
2020-09-14,42.11,1.51,29.26,27.12
2020-09-15,42.19,1.52,29.27,27.02
2020-09-16,41.93,1.54,29.42,27.11
2020-09-17,41.99,1.48,29.45,27.08
2020-09-18,42.11,1.49,29.31,27.09
2020-09-19,42.2,1.45,29.23,27.12
2020-09-20,42.29,1.42,29.17,27.12
2020-09-21,42.39,1.45,29.22,26.94
2020-09-22,42.37,1.45,29.22,26.96
2020-09-23,42.51,1.4,29.37,26.72
2020-09-24,42.61,1.43,29.27,26.69
2020-09-25,42.68,1.37,29.3,26.65
2020-09-26,42.54,1.31,29.92,26.23
2020-09-27,42.35,1.37,30.1,26.18
2020-09-28,42.84,1.34,29.83,25.99
2020-09-29,43.2,1.43,29.61,25.76
2020-09-30,43.08,1.41,29.41,26.1
2020-10-01,42.23,1.42,29.67,26.68
2020-10-02,42.36,1.4,29.64,26.6
2020-10-03,42.18,1.35,29.15,27.32
2020-10-04,42.22,1.31,29.11,27.36
2020-10-05,42.26,1.35,28.94,27.45
2020-10-06,42.45,1.39,28.69,27.47
2020-10-07,42.17,1.33,29.03,27.47
2020-10-08,42.5,1.35,29.09,27.06
2020-10-09,42.82,1.32,28.98,26.88
2020-10-10,44.49,1.32,27.57,26.62
2020-10-11,44.51,1.25,27.5,26.74
2020-10-12,43.63,1.26,27.79,27.32
2020-10-13,44.05,1.18,27.27,27.5
2020-10-14,44.58,1.13,27.19,27.1
2020-10-15,44.01,1.11,27.72,27.16
2020-10-16,43.99,1.15,27.73,27.13
2020-10-17,43.99,1.18,27.58,27.25
2020-10-18,43.97,1.18,27.65,27.2
2020-10-19,44.77,1.01,27.31,26.91
2020-10-20,44.96,1.09,27.18,26.77
2020-10-21,46.55,1.03,25.91,26.51
2020-10-22,46.03,1.07,26.4,26.5
2020-10-23,45.73,0.96,26.19,27.12
2020-10-24,45.67,1.0,26.17,27.16
2020-10-25,45.56,0.99,26.32,27.13
2020-10-26,46.03,0.93,26.09,26.95
2020-10-27,46.31,0.97,25.79,26.93
2020-10-28,46.27,0.95,25.59,27.19
2020-10-29,46.42,0.95,25.72,26.91
2020-10-30,46.35,0.94,25.68,27.03
2020-10-31,45.92,1.03,26.29,26.76
2020-11-01,45.85,1.02,26.2,26.93
2020-11-02,46.06,1.04,25.91,26.99
2020-11-03,45.75,1.2,26.09,26.96
2020-11-04,45.41,1.18,26.5,26.91
2020-11-05,44.99,1.27,26.89,26.85
2020-11-06,45.06,1.2,26.75,26.99
2020-11-07,45.55,1.31,26.49,26.65
2020-11-08,45.48,1.26,26.54,26.72
2020-11-09,45.52,1.74,26.68,26.06
2020-11-10,45.54,1.77,26.62,26.07
2020-11-11,45.99,1.87,25.91,26.23
2020-11-12,45.29,2.07,26.42,26.22
2020-11-13,45.27,2.04,26.5,26.19
2020-11-14,45.22,2.04,26.42,26.32
2020-11-15,45.24,2.07,26.35,26.34
2020-11-16,45.23,2.05,26.34,26.38
2020-11-17,45.65,2.22,26.59,25.54
2020-11-18,46.51,2.07,26.73,24.69
2020-11-19,45.76,1.63,27.07,25.54
2020-11-20,45.77,1.65,26.98,25.6
2020-11-21,45.61,1.59,27.32,25.48
2020-11-22,45.54,1.57,27.48,25.41
2020-11-23,44.94,1.7,27.53,25.83
2020-11-24,46.19,1.31,26.78,25.72
2020-11-25,46.67,1.4,25.89,26.04
2020-11-26,45.74,1.19,25.94,27.13
2020-11-27,45.81,1.17,25.52,27.5
2020-11-28,45.84,1.22,25.52,27.42
2020-11-29,45.85,1.18,25.47,27.5
2020-11-30,45.85,1.21,25.54,27.4
2020-12-01,45.64,1.28,25.52,27.56
2020-12-02,45.64,1.39,25.63,27.34
2020-12-03,45.96,1.33,25.67,27.04
2020-12-04,46.19,1.32,25.45,27.04
2020-12-05,45.81,1.37,25.39,27.43
2020-12-06,46.0,1.37,25.36,27.27
2020-12-07,45.47,1.45,26.03,27.05
2020-12-08,46.0,1.55,25.97,26.48
2020-12-09,45.04,1.49,25.52,27.95
2020-12-10,45.0,1.49,25.9,27.61
2020-12-11,45.52,1.52,24.94,28.02
2020-12-12,45.59,1.48,24.75,28.18
2020-12-13,45.67,1.49,24.6,28.24
2020-12-14,45.43,1.53,25.41,27.63
2020-12-15,45.25,1.58,26.03,27.14
2020-12-16,44.66,1.43,26.72,27.19
2020-12-17,43.98,1.52,27.6,26.9
2020-12-18,43.15,1.77,27.51,27.57
2020-12-19,42.51,1.86,27.63,28.0
2020-12-20,42.58,1.87,27.66,27.89
2020-12-21,42.26,1.93,27.9,27.91
2020-12-22,42.82,2.13,26.62,28.43
2020-12-23,44.0,1.91,25.79,28.3
2020-12-24,45.17,1.86,25.01,27.96
2020-12-25,44.95,1.87,25.09,28.09
2020-12-26,45.07,1.86,25.0,28.07
2020-12-27,45.05,1.85,25.06,28.04
2020-12-28,44.99,1.85,25.15,28.01
2020-12-29,44.99,1.87,25.2,27.94
2020-12-30,45.21,1.93,24.72,28.14
2020-12-31,45.2,1.96,24.67,28.17
2021-01-01,44.75,1.96,24.98,28.31
2021-01-02,45.0,2.05,25.08,27.87
2021-01-03,44.79,2.05,25.21,27.95
2021-01-04,44.39,2.14,25.18,28.29
2021-01-05,44.0,2.03,25.63,28.34
2021-01-06,43.79,1.95,26.14,28.12
2021-01-07,44.71,1.8,25.59,27.9
2021-01-08,45.48,2.26,24.9,27.36
2021-01-09,45.21,2.04,24.25,28.5
2021-01-10,45.29,2.05,24.2,28.46
2021-01-11,45.93,2.02,24.5,27.55
2021-01-12,45.72,1.9,24.53,27.85
2021-01-13,45.52,1.81,24.54,28.13
2021-01-14,46.37,1.58,24.52,27.53
2021-01-15,46.55,1.51,25.19,26.75
2021-01-16,45.67,1.59,25.77,26.97
2021-01-17,45.64,1.57,25.85,26.94
2021-01-18,44.89,1.45,26.17,27.49
2021-01-19,45.4,1.48,25.7,27.42
2021-01-20,45.17,1.39,25.65,27.79
2021-01-21,44.97,1.44,26.15,27.44
2021-01-22,45.67,1.46,25.57,27.3
2021-01-23,46.16,1.34,25.89,26.61
2021-01-24,45.91,1.43,25.93,26.73
2021-01-25,46.26,1.33,25.28,27.13
2021-01-26,46.25,1.37,25.21,27.17
2021-01-27,46.47,1.4,25.36,26.77
2021-01-28,46.47,1.38,24.87,27.28
2021-01-29,46.17,1.41,25.04,27.38
2021-01-30,46.27,1.25,25.27,27.21
2021-01-31,46.33,1.24,25.39,27.04
2021-02-01,46.52,1.31,25.09,27.08
2021-02-02,46.54,1.23,24.76,27.47
2021-02-03,46.43,1.26,24.75,27.56
2021-02-04,46.85,1.22,24.6,27.33
2021-02-05,45.82,1.25,24.52,28.41
2021-02-06,45.95,1.3,24.49,28.26
2021-02-07,46.04,1.26,24.42,28.28
2021-02-08,46.35,1.39,25.19,27.07
2021-02-09,46.81,1.28,25.36,26.55
2021-02-10,47.62,1.23,24.49,26.66
2021-02-11,47.05,1.31,24.56,27.08
2021-02-12,46.66,1.32,25.04,26.98
2021-02-13,44.76,1.28,25.76,28.2
2021-02-14,44.81,1.31,25.77,28.11
2021-02-15,44.97,1.27,25.55,28.21
2021-02-16,44.54,1.34,25.72,28.4
2021-02-17,46.22,1.42,25.35,27.01
2021-02-18,46.38,1.32,25.78,26.52
2021-02-19,46.29,1.38,26.6,25.73
2021-02-20,46.66,1.34,26.29,25.71
2021-02-21,46.62,1.37,26.36,25.65
2021-02-22,46.54,1.32,26.13,26.01
2021-02-23,47.11,1.13,24.48,27.28
2021-02-24,48.09,1.02,23.69,27.2
2021-02-25,47.91,1.03,23.84,27.22
2021-02-26,47.65,1.03,24.21,27.11
2021-02-27,47.42,1.03,24.25,27.3
2021-02-28,47.59,1.01,24.19,27.21
2021-03-01,47.61,0.98,23.82,27.59
2021-03-02,47.59,1.03,24.08,27.3
2021-03-03,47.73,0.95,23.68,27.64
2021-03-04,46.71,0.98,24.2,28.11
2021-03-05,46.25,0.99,24.47,28.29
2021-03-06,47.46,1.1,23.36,28.08
2021-03-07,47.44,1.1,23.37,28.09
2021-03-08,47.65,1.18,23.35,27.82
2021-03-09,47.64,1.18,23.5,27.68
2021-03-10,47.49,1.16,23.35,28.0
2021-03-11,47.47,1.19,23.79,27.55
2021-03-12,47.18,1.14,24.29,27.39
2021-03-13,47.38,1.45,24.17,27.0
2021-03-14,47.62,1.46,24.13,26.79
2021-03-15,48.06,1.46,24.01,26.47
2021-03-16,46.94,1.44,24.2,27.42
2021-03-17,47.17,1.44,24.73,26.66
2021-03-18,46.84,1.36,24.85,26.95
2021-03-19,46.94,1.3,24.85,26.91
2021-03-20,46.22,1.18,25.89,26.71
2021-03-21,46.12,1.21,25.97,26.7
2021-03-22,46.34,1.2,25.86,26.6
2021-03-23,46.52,1.22,25.36,26.9
2021-03-24,47.83,1.26,24.58,26.33
2021-03-25,48.35,1.34,24.38,25.93
2021-03-26,48.81,1.13,23.48,26.58
2021-03-27,49.44,1.09,22.97,26.5
2021-03-28,49.35,1.05,23.11,26.49
2021-03-29,49.31,1.09,23.18,26.42
2021-03-30,48.76,1.12,23.13,26.99
2021-03-31,49.12,1.3,22.7,26.88
2021-04-01,48.52,1.32,22.79,27.37
2021-04-02,48.34,1.31,23.94,26.41
2021-04-03,48.09,1.64,23.74,26.53
2021-04-04,48.34,1.32,23.83,26.51
2021-04-05,47.89,1.75,24.03,26.33
2021-04-06,47.47,1.78,24.1,26.65
2021-04-07,48.28,1.3,24.12,26.3
2021-04-08,48.27,1.5,23.59,26.64
2021-04-09,48.71,1.45,22.73,27.11
2021-04-10,48.83,1.46,22.94,26.77
2021-04-11,48.8,1.46,22.97,26.77
2021-04-12,49.15,1.38,22.28,27.19
2021-04-13,49.55,1.32,22.1,27.03
2021-04-14,49.88,1.34,21.67,27.11
2021-04-15,50.13,1.37,22.05,26.45
2021-04-16,51.08,1.44,21.44,26.04
2021-04-17,51.13,1.5,21.63,25.74
2021-04-18,51.2,1.44,21.65,25.71
2021-04-19,50.87,1.35,21.82,25.96
2021-04-20,51.17,1.38,21.44,26.01
2021-04-21,51.53,1.19,21.2,26.08
2021-04-22,51.79,1.2,20.77,26.24
2021-04-23,51.35,1.03,20.16,27.46
2021-04-24,52.12,0.95,19.57,27.36
2021-04-25,52.15,0.93,19.76,27.16
2021-04-26,52.4,0.94,19.59,27.07
2021-04-27,51.92,0.97,19.39,27.72
2021-04-28,52.24,0.96,19.13,27.67
2021-04-29,52.32,1.08,18.84,27.76
2021-04-30,52.21,1.05,18.85,27.89
2021-05-01,52.46,1.12,18.66,27.76
2021-05-02,52.68,1.11,18.58,27.63
2021-05-03,53.04,1.23,18.41,27.32
2021-05-04,53.11,1.17,17.92,27.8
2021-05-05,53.45,1.18,17.76,27.61
2021-05-06,53.57,1.15,17.98,27.3
2021-05-07,53.24,1.07,17.78,27.91
2021-05-08,53.26,1.07,17.65,28.02
2021-05-09,53.2,1.07,17.84,27.89
2021-05-10,53.7,1.18,17.74,27.38
2021-05-11,53.85,1.1,17.73,27.32
2021-05-12,53.54,1.02,17.5,27.94
2021-05-13,54.09,1.06,17.4,27.45
2021-05-14,54.23,1.06,17.35,27.36
2021-05-15,53.71,1.09,17.51,27.69
2021-05-16,53.74,1.1,17.47,27.69
2021-05-17,53.75,1.12,17.56,27.57
2021-05-18,53.45,1.13,17.46,27.96
2021-05-19,54.07,0.97,17.18,27.78
2021-05-20,54.27,0.92,17.06,27.75
2021-05-21,54.11,0.89,17.12,27.88
2021-05-22,54.27,0.97,17.23,27.53
2021-05-23,54.25,1.01,17.22,27.52
2021-05-24,55.57,1.11,16.58,26.74
2021-05-25,55.05,1.02,16.32,27.61
2021-05-26,54.76,0.99,16.39,27.86
2021-05-27,54.45,0.95,16.17,28.43
2021-05-28,55.6,0.92,16.05,27.43
2021-05-29,55.95,0.92,16.2,26.93
2021-05-30,55.76,0.95,16.29,27.0
2021-05-31,55.96,0.89,16.23,26.92
2021-06-01,55.59,0.83,16.75,26.83
2021-06-02,54.82,0.89,17.61,26.68
2021-06-03,55.18,0.83,17.52,26.47
2021-06-04,54.47,1.27,17.31,26.95
2021-06-05,54.46,1.44,17.27,26.83
2021-06-06,54.47,1.4,17.25,26.88
2021-06-07,54.44,1.01,17.83,26.72
2021-06-08,54.94,1.04,16.72,27.3
2021-06-09,54.98,0.74,17.24,27.04
2021-06-10,55.1,0.72,17.37,26.81
2021-06-11,54.95,0.76,17.51,26.78
2021-06-12,54.86,0.71,17.69,26.74
2021-06-13,54.91,0.71,17.53,26.85
2021-06-14,54.97,0.75,17.43,26.85
2021-06-15,54.6,0.7,17.83,26.87
2021-06-16,54.11,0.75,18.61,26.53
2021-06-17,54.6,0.9,18.51,25.99
2021-06-18,55.26,0.86,18.33,25.55
2021-06-19,55.81,0.91,17.86,25.42
2021-06-20,55.72,0.95,17.95,25.38
2021-06-21,55.93,0.94,17.88,25.25
2021-06-22,56.05,0.82,17.73,25.4
2021-06-23,56.1,0.67,17.8,25.43
2021-06-24,56.63,0.7,17.74,24.93
2021-06-25,56.6,0.82,17.37,25.21
2021-06-26,56.39,0.7,17.16,25.75
2021-06-27,56.47,0.7,17.08,25.75
2021-06-28,56.03,0.82,17.05,26.1
2021-06-29,55.35,0.7,17.28,26.67
2021-06-30,55.38,0.69,17.83,26.1
2021-07-01,55.15,0.86,17.72,26.27
2021-07-02,54.38,0.96,17.68,26.98
2021-07-03,54.64,0.99,17.43,26.94
2021-07-04,54.55,0.97,17.46,27.02
2021-07-05,54.22,1.05,18.19,26.54
2021-07-06,54.43,1.06,18.02,26.49
2021-07-07,55.24,1.08,17.93,25.75
2021-07-08,55.21,1.07,17.96,25.76
2021-07-09,55.37,1.0,18.3,25.33
2021-07-10,55.41,1.08,18.42,25.09
2021-07-11,55.56,1.09,18.33,25.02
2021-07-12,55.53,1.14,18.48,24.85
2021-07-13,54.49,1.23,19.16,25.12
2021-07-14,54.52,1.24,18.83,25.41
2021-07-15,53.73,1.39,19.17,25.71
2021-07-16,53.34,1.38,19.66,25.62
2021-07-17,53.27,1.56,19.85,25.32
2021-07-18,53.14,1.54,19.83,25.49
2021-07-19,53.5,1.53,19.81,25.16
2021-07-20,53.56,1.54,19.75,25.15
2021-07-21,53.58,1.55,19.74,25.13
2021-07-22,53.12,1.62,20.09,25.17
2021-07-23,53.41,1.59,19.79,25.21
2021-07-24,53.53,1.67,19.51,25.29
2021-07-25,53.49,1.65,19.6,25.26
2021-07-26,53.6,1.62,20.0,24.78
2021-07-27,53.62,1.63,20.35,24.4
2021-07-28,54.1,1.53,20.25,24.12
2021-07-29,54.25,1.46,20.45,23.84
2021-07-30,54.1,1.55,20.66,23.69
2021-07-31,53.87,1.61,20.73,23.79
2021-08-01,53.99,1.63,20.69,23.69
2021-08-02,53.69,1.61,20.69,24.01
2021-08-03,53.79,1.68,20.3,24.23
2021-08-04,53.82,1.78,19.9,24.5
2021-08-05,53.31,1.76,19.95,24.98
2021-08-06,53.51,1.7,20.08,24.71
2021-08-07,53.22,1.68,20.09,25.01
2021-08-08,53.24,1.78,20.0,24.98
2021-08-09,53.23,1.7,19.91,25.16
2021-08-10,53.12,1.76,20.01,25.11
2021-08-11,53.1,1.73,19.88,25.29
2021-08-12,54.08,1.74,19.87,24.31
2021-08-13,54.11,1.71,19.7,24.48
2021-08-14,54.19,1.68,19.79,24.34
2021-08-15,54.32,1.74,19.69,24.25
2021-08-16,54.73,1.67,19.56,24.04
2021-08-17,54.81,1.7,19.51,23.98
2021-08-18,54.92,1.68,18.96,24.44
2021-08-19,55.23,1.6,19.03,24.14
2021-08-20,54.84,1.62,19.13,24.41
2021-08-21,54.97,1.56,18.99,24.48
2021-08-22,55.05,1.57,18.89,24.49
2021-08-23,54.96,1.56,18.87,24.61
2021-08-24,55.06,1.57,18.59,24.78
2021-08-25,55.36,1.53,18.44,24.67
2021-08-26,55.36,1.54,18.24,24.86
2021-08-27,55.23,1.5,18.22,25.05
2021-08-28,55.17,1.56,18.03,25.24
2021-08-29,55.19,1.53,18.07,25.21
2021-08-30,55.07,1.57,18.13,25.23
2021-08-31,55.2,1.56,18.06,25.18
2021-09-01,54.08,1.44,19.05,25.43
2021-09-02,53.38,1.4,19.32,25.9
2021-09-03,52.26,1.29,20.42,26.03
2021-09-04,49.72,1.22,21.98,27.08
2021-09-05,49.69,1.23,21.93,27.15
2021-09-06,48.52,1.28,22.88,27.32
2021-09-07,48.11,1.15,23.12,27.62
2021-09-08,47.34,1.27,23.71,27.68
2021-09-09,47.0,1.11,24.4,27.49
2021-09-10,46.87,1.11,24.53,27.49
2021-09-11,46.93,1.19,24.74,27.14
2021-09-12,46.94,1.12,24.77,27.17
2021-09-13,47.76,1.18,24.7,26.36
2021-09-14,48.77,1.42,24.27,25.54
2021-09-15,49.19,1.41,24.29,25.11
2021-09-16,48.93,1.29,24.36,25.42
2021-09-17,48.56,1.38,24.77,25.29
2021-09-18,48.89,1.48,24.42,25.21
2021-09-19,49.04,1.47,24.39,25.1
2021-09-20,48.85,1.62,24.73,24.8
2021-09-21,48.52,1.62,25.4,24.46
2021-09-22,48.08,1.59,25.39,24.94
2021-09-23,48.0,1.59,25.5,24.91
2021-09-24,48.3,1.51,25.46,24.73
2021-09-25,48.45,1.6,25.09,24.86
2021-09-26,48.49,1.62,25.1,24.79
2021-09-27,49.05,1.6,24.6,24.75
2021-09-28,49.47,1.62,24.27,24.64
2021-09-29,49.5,1.57,24.24,24.69
2021-09-30,49.56,1.65,24.02,24.77
2021-10-01,49.63,1.71,23.52,25.14
2021-10-02,49.7,1.7,23.57,25.03
2021-10-03,49.54,1.72,23.59,25.15
2021-10-04,50.06,1.58,22.93,25.43
2021-10-05,50.07,1.58,22.85,25.5
2021-10-06,50.45,1.58,22.58,25.39
2021-10-07,50.6,1.52,22.6,25.28
2021-10-08,50.57,1.55,22.68,25.2
2021-10-09,50.75,1.54,22.51,25.2
2021-10-10,50.8,1.55,22.47,25.18
2021-10-11,50.37,1.59,22.4,25.64
2021-10-12,50.16,1.53,22.33,25.98
2021-10-13,50.27,1.5,22.3,25.93
2021-10-14,50.4,1.51,22.08,26.01
2021-10-15,50.38,1.52,21.99,26.11
2021-10-16,50.36,1.54,22.12,25.98
2021-10-17,50.55,1.54,21.99,25.92
2021-10-18,50.33,1.49,22.31,25.87
2021-10-19,50.62,1.62,22.13,25.63
2021-10-20,50.33,1.56,22.33,25.78
2021-10-21,50.4,1.63,22.02,25.95
2021-10-22,50.46,1.76,21.89,25.89
2021-10-23,50.61,1.76,22.0,25.63
2021-10-24,50.52,1.75,21.92,25.81
2021-10-25,51.17,1.76,21.52,25.55
2021-10-26,51.03,1.76,21.79,25.42
2021-10-27,51.1,1.76,21.92,25.22
2021-10-28,51.13,1.88,21.71,25.28
2021-10-29,51.09,1.84,21.66,25.41
2021-10-30,51.13,1.81,21.31,25.75
2021-10-31,51.14,1.84,21.46,25.56
2021-11-01,51.2,1.82,21.27,25.71
2021-11-02,51.55,1.84,21.38,25.23
2021-11-03,51.58,1.87,21.38,25.17
2021-11-04,51.54,1.91,21.38,25.17
2021-11-05,51.57,1.84,21.52,25.07
2021-11-06,51.41,1.89,21.54,25.16
2021-11-07,51.62,1.89,21.46,25.03
2021-11-08,51.27,1.87,21.64,25.22
2021-11-09,51.26,1.84,21.69,25.21
2021-11-10,51.21,1.79,21.71,25.29
2021-11-11,51.04,1.71,21.84,25.41
2021-11-12,50.67,1.69,22.35,25.29
2021-11-13,50.74,1.57,22.5,25.19
2021-11-14,50.42,1.56,22.68,25.34
2021-11-15,50.37,1.57,22.46,25.6
2021-11-16,50.21,1.37,22.53,25.89
2021-11-17,50.04,1.2,22.58,26.18
2021-11-18,49.96,1.1,22.82,26.12
2021-11-19,49.68,1.04,22.67,26.61
2021-11-20,49.23,0.85,22.99,26.93
2021-11-21,49.37,0.9,22.94,26.79
2021-11-22,49.55,0.82,22.7,26.93
2021-11-23,49.81,0.85,22.62,26.72
2021-11-24,50.13,0.72,22.33,26.82
2021-11-25,50.56,0.72,22.14,26.58
2021-11-26,50.63,0.73,22.07,26.57
2021-11-27,51.17,0.74,21.75,26.34
2021-11-28,51.11,0.71,21.85,26.33
2021-11-29,50.71,0.69,21.92,26.68
2021-11-30,50.64,0.69,21.89,26.78
2021-12-01,50.67,0.73,21.81,26.79
2021-12-02,51.11,0.66,21.27,26.96
2021-12-03,51.17,0.66,21.15,27.02
2021-12-04,50.94,0.7,21.23,27.13
2021-12-05,50.95,0.66,21.27,27.12
2021-12-06,51.09,0.78,21.27,26.86
2021-12-07,50.42,0.75,21.17,27.66
2021-12-08,49.48,0.74,21.46,28.32
2021-12-09,49.66,0.81,21.66,27.87
2021-12-10,49.79,0.84,21.57,27.8
2021-12-11,49.6,0.88,21.58,27.94
2021-12-12,49.46,0.97,21.6,27.97
2021-12-13,49.33,0.87,21.82,27.98
2021-12-14,49.52,0.84,21.62,28.02
2021-12-15,49.7,0.89,21.3,28.11
2021-12-16,49.38,0.88,21.44,28.3
2021-12-17,49.57,0.92,21.66,27.85
2021-12-18,49.36,0.88,21.75,28.01
2021-12-19,49.2,0.9,21.62,28.28
2021-12-20,49.18,0.94,21.87,28.01
2021-12-21,49.02,0.92,22.07,27.99
2021-12-22,48.9,0.92,21.93,28.25
2021-12-23,48.88,0.92,21.98,28.22
2021-12-24,49.05,0.88,21.79,28.28
2021-12-25,48.95,0.91,21.82,28.32
2021-12-26,48.94,0.93,21.77,28.36
2021-12-27,49.0,0.93,21.84,28.23
2021-12-28,49.05,0.89,21.85,28.21
2021-12-29,49.28,0.93,21.7,28.09
2021-12-30,49.22,0.88,21.67,28.23
2021-12-31,49.93,0.98,21.29,27.8
2022-01-01,50.02,1.01,21.37,27.6
2022-01-02,49.97,0.99,21.3,27.74
2022-01-03,49.26,0.99,21.74,28.01
2022-01-04,49.12,0.99,22.02,27.87
2022-01-05,48.65,1.15,22.56,27.64
2022-01-06,48.28,1.15,22.7,27.87
2022-01-07,48.97,1.19,22.48,27.36
2022-01-08,49.06,1.27,22.56,27.11
2022-01-09,49.07,1.25,22.46,27.22
2022-01-10,48.73,1.19,22.79,27.29
2022-01-11,48.58,1.16,22.69,27.57
2022-01-12,48.47,1.27,22.71,27.55
2022-01-13,48.64,1.32,22.72,27.32
2022-01-14,48.62,1.33,22.85,27.2
2022-01-15,48.06,1.39,23.33,27.22
2022-01-16,48.0,1.32,23.26,27.42
2022-01-17,47.83,1.4,23.41,27.36
2022-01-18,47.46,1.39,23.68,27.47
2022-01-19,46.08,1.44,24.34,28.14
2022-01-20,45.94,1.41,24.57,28.08
2022-01-21,46.05,1.39,24.55,28.01
2022-01-22,45.98,1.32,24.32,28.38
2022-01-23,45.99,1.39,24.31,28.31
2022-01-24,45.97,1.39,24.17,28.47
2022-01-25,46.43,1.33,23.86,28.38
2022-01-26,46.62,1.31,23.81,28.26
2022-01-27,47.02,1.38,23.74,27.86
2022-01-28,46.66,1.24,24.09,28.01
2022-01-29,46.72,1.3,24.27,27.71
2022-01-30,46.72,1.3,24.25,27.73
2022-01-31,45.0,1.52,25.1,28.38
2022-02-01,45.3,1.68,25.42,27.6
2022-02-02,44.3,1.69,25.68,28.33
2022-02-03,44.01,1.61,26.01,28.37
2022-02-04,43.73,1.85,26.58,27.84
2022-02-05,43.28,1.93,27.24,27.55
2022-02-06,43.59,1.94,27.16,27.31
2022-02-07,43.72,1.83,26.76,27.69
2022-02-08,43.95,1.86,26.37,27.82
2022-02-09,44.99,1.88,25.75,27.38
2022-02-10,45.67,1.69,25.05,27.59
2022-02-11,46.48,1.44,24.76,27.32
2022-02-12,45.78,1.57,25.47,27.18
2022-02-13,45.96,1.54,25.49,27.01
2022-02-14,46.52,1.46,25.93,26.09
2022-02-15,46.1,1.43,26.64,25.83
2022-02-16,46.1,1.33,26.27,26.3
2022-02-17,46.16,1.2,25.39,27.25
2022-02-18,45.68,1.2,26.53,26.59
2022-02-19,44.92,1.12,27.22,26.74
2022-02-20,45.08,1.01,27.1,26.81
2022-02-21,45.25,1.02,27.32,26.41
2022-02-22,44.93,0.8,28.0,26.27
2022-02-23,44.86,0.9,28.18,26.06
2022-02-24,44.53,0.97,28.18,26.32
2022-02-25,43.9,0.99,28.63,26.48
2022-02-26,44.31,0.86,28.3,26.53
2022-02-27,44.34,0.9,28.3,26.46
2022-02-28,44.18,0.76,28.4,26.66
2022-03-01,44.24,0.76,28.35,26.65
2022-03-02,43.27,0.68,28.88,27.17
2022-03-03,44.4,0.64,27.56,27.4
2022-03-04,44.62,0.63,27.33,27.42
2022-03-05,44.99,0.57,27.47,26.97
2022-03-06,45.03,0.6,27.48,26.89
2022-03-07,45.05,0.61,27.03,27.31
2022-03-08,44.33,0.55,27.49,27.63
2022-03-09,41.18,0.66,28.88,29.28
2022-03-10,40.65,0.64,29.58,29.13
2022-03-11,40.03,0.71,29.45,29.81
2022-03-12,39.96,0.7,29.52,29.82
2022-03-13,39.95,0.67,29.58,29.8
2022-03-14,40.0,0.69,29.53,29.78
2022-03-15,40.92,0.77,28.93,29.38
2022-03-16,41.26,0.88,29.1,28.76
2022-03-17,41.37,1.99,27.62,29.02
2022-03-18,41.35,1.98,27.51,29.16
2022-03-19,41.49,2.01,27.51,28.99
2022-03-20,41.26,1.96,27.66,29.12
2022-03-21,40.32,0.86,28.76,30.06
2022-03-22,40.17,0.88,30.15,28.8
2022-03-23,39.88,0.74,30.33,29.05
2022-03-24,39.11,0.82,29.7,30.37
2022-03-25,38.59,0.81,29.78,30.82
2022-03-26,38.59,0.83,30.15,30.43
2022-03-27,38.72,0.84,30.03,30.41
2022-03-28,38.8,0.82,30.12,30.26
2022-03-29,39.01,0.84,29.94,30.21
2022-03-30,40.08,0.88,30.18,28.86
2022-03-31,39.87,0.78,28.58,30.77
2022-04-01,40.49,0.69,28.55,30.27
2022-04-02,41.79,0.82,27.71,29.68
2022-04-03,41.82,0.86,27.69,29.63
2022-04-04,41.44,1.04,27.55,29.97
2022-04-05,42.35,1.04,27.43,29.18
2022-04-06,42.23,1.19,27.43,29.15
2022-04-07,42.05,0.86,28.2,28.89
2022-04-08,40.59,0.66,28.77,29.98
2022-04-09,40.6,0.66,28.2,30.54
2022-04-10,40.58,0.64,28.2,30.58
2022-04-11,39.42,0.66,29.39,30.53
2022-04-12,39.23,0.72,29.58,30.47
2022-04-13,39.32,0.84,29.85,29.99
2022-04-14,38.96,0.8,30.44,29.8
2022-04-15,39.69,0.87,30.29,29.15
2022-04-16,39.38,0.84,30.46,29.32
2022-04-17,39.31,0.9,30.41,29.38
2022-04-18,39.26,0.88,30.2,29.66
2022-04-19,39.37,0.98,30.06,29.59
2022-04-20,40.31,0.92,28.71,30.06
