date,Deteriorated,Don't Know/Can't Say,Improved,Remained the same
2019-05-18,25.77,1.32,42.82,30.09
2019-05-19,25.94,1.36,42.78,29.92
2019-05-20,26.59,1.22,42.49,29.7
2019-05-21,26.39,1.18,42.51,29.92
2019-05-22,26.26,0.91,42.78,30.05
2019-05-23,26.08,1.06,42.21,30.65
2019-05-24,23.84,2.21,44.05,29.9
2019-05-25,23.98,2.25,44.0,29.77
2019-05-26,23.98,2.25,44.0,29.77
2019-05-27,23.51,2.21,44.57,29.71
2019-05-28,22.56,2.15,45.14,30.15
2019-05-29,21.63,2.49,45.73,30.15
2019-05-30,21.12,2.55,44.83,31.5
2019-05-31,21.33,2.52,44.3,31.85
2019-06-01,21.33,2.52,44.3,31.85
2019-06-02,21.33,2.52,44.3,31.85
2019-06-03,21.24,2.5,43.78,32.48
2019-06-04,21.85,2.43,43.46,32.26
2019-06-05,21.85,2.43,43.46,32.26
2019-06-06,21.53,2.21,43.18,33.08
2019-06-07,20.86,2.3,43.34,33.5
2019-06-08,20.48,2.16,43.88,33.48
2019-06-09,20.48,2.16,43.88,33.48
2019-06-10,19.89,2.01,45.74,32.36
2019-06-11,20.16,1.99,45.35,32.5
2019-06-12,19.98,2.19,44.59,33.24
2019-06-13,20.2,2.12,45.07,32.61
2019-06-14,20.57,2.1,45.0,32.33
2019-06-15,20.67,2.14,44.17,33.02
2019-06-16,20.67,2.14,44.17,33.02
2019-06-17,20.43,2.29,44.75,32.53
2019-06-18,20.94,2.22,44.76,32.08
2019-06-19,20.31,2.05,44.76,32.88
2019-06-20,20.13,2.16,44.83,32.88
2019-06-21,20.38,2.19,44.94,32.49
2019-06-22,20.81,2.53,44.61,32.05
2019-06-23,20.81,2.53,44.61,32.05
2019-06-24,20.71,2.7,43.8,32.79
2019-06-25,19.85,2.77,43.34,34.04
2019-06-26,19.39,2.9,43.72,33.99
2019-06-27,19.08,2.31,43.57,35.04
2019-06-28,19.15,2.16,42.63,36.06
2019-06-29,20.66,1.99,40.87,36.48
2019-06-30,20.66,1.99,40.87,36.48
2019-07-01,21.26,1.93,40.12,36.69
2019-07-02,21.89,1.82,40.27,36.02
2019-07-03,22.76,1.72,40.23,35.29
2019-07-04,22.87,1.66,40.44,35.03
2019-07-05,23.33,1.72,40.11,34.84
